 6968, 2
 499, 2
 135, 3
 13935, 2
 3657, 2
 24, 7
 25, 11
 26, 3
 27, 2
 20, 3
 21, 3
 22, 9
 23, 2
 rubber, 2
 28, 2
 29, 4
 to, 19
 carolina, 2
 999, 2
 virginia, 2
 124, 2
 not, 2
 builder, 2
 59, 2
 11675, 2
 55, 4
 classified, 4
 50, 4
 53, 2
 52, 2
 this, 3
 small, 2
 66, 2
 outboard, 2
 9999, 2
 num, 6
 1487, 2
 are, 8
 113, 2
 80, 2
 86, 2
 85, 2
 02, 13
 03, 5
 01, 8
 06, 2
 04, 5
 05, 4
 08, 5
 09, 2
 per, 2
 2804, 5
 new, 4
 size, 2
 avgsales, 3
 totalemp, 3
 442, 3
 million, 2
 5324, 2
 109, 3
 100, 2
 249, 2
 7628, 2
 105, 2
 repairing, 18
 39, 3
 32, 3
 66308, 5
 30, 6
 36, 4
 35, 4
 34, 4
 figures, 4
 or, 2
 430, 2
 1000, 4
 repair, 2
 plastics, 2
 washington, 2
 number, 3
 62, 2
 motor, 2
 68, 2
 250, 2
 market, 7
 millions, 4
 ofbus, 5
 statistics, 2
 unknown, 2
 5700, 2
 establishments, 3
 by, 3
 500, 2
 633, 2
 north, 2
 ofemployees, 2
 54679, 4
 totalsaverages, 4
 specialty, 3
 99, 2
 91, 2
 160, 2
 94, 2
 11, 6
 10, 12
 13, 3
 12, 6
 15, 5
 14, 6
 17, 6
 16, 3
 19, 5
 18, 2
 of, 3
 286, 2
 31, 2
 and, 22
 8360, 2
 avgemp, 3
 is, 3
 share, 2
 sales, 6
 in, 11
 49, 3
 na, 2
 44, 2
 43, 2
 40, 3
 41, 4
 note, 4
 branch, 2
 boats, 6
 establishment, 3
 141, 3
 1273, 2
 76, 3
 70, 3
 building, 18
 industry, 4
 average, 2
 analysis, 4
 941, 3
 totalsales, 4
 boat, 8
