 58, 9
 68, 7
 evans, 3
 miller, 2
 53, 11
 29, 4
 61, 4
 88, 6
 89, 18
 65, 2
 67, 5
 82, 5
 83, 5
 81, 2
 86, 2
 87, 2
 84, 6
 wilson, 3
 24, 5
 26, 5
 21, 11
 22, 2
 duncan, 2
 69, 4
 47, 14
 44, 4
 edwards, 3
 28, 2
 young, 3
 long, 2
 hall, 2
 anderson, 2
 daniel, 2
 new, 4
 williams, 2
 beard, 2
 brown, 2
 leach, 2
 murphy, 3
 north, 2
 43, 2
 dakota, 2
 42, 5
 carolina, 2
 mitchell, 2
 crane, 2
 13, 3
 burton, 2
 virginia, 2
 75, 3
 74, 6
 andrews, 2
 71, 7
 collins, 2
 jones, 3
 59, 2
 100, 11
 ford, 2
 95, 8
 94, 10
 79, 5
 78, 4
 11, 50
 10, 2
 39, 6
 12, 11
 15, 3
 14, 3
 johnson, 2
 16, 13
 33, 8
 32, 6
 31, 5
 56, 6
 37, 9
 35, 3
 63, 10
 smith, 2
 18, 7
 davis, 2
 40, 2
 myers, 2
 17, 13
 south, 2
 72, 5
